27274,1,TC-1,8/30/2017 13:17:16 PM,Failed,8/30/2017 13:16:48 PM,basic.step,Sample,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2810,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,2462,Passed,"",basic.step,
"Iteration Total (sec)",,24226,Failed,"",basic.iteration,
"Think: 0 (sec).",,50,Passed,"",basic.comment,
"[1] Google (/)",,24035,Failed,"",basic.stepGroup,
"Navigate http://www.google.com/",2,83,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/dnserror.htm#http://www.google.com/",4,15715,Passed,"",web.pageComplete,
"Think: 2.454 (sec).",,2516,Passed,"",basic.comment,
"Failed to playback",,5336,Failed,"",ft.action,
"setText",5,5007,Failed,"Failed to playback: No browser launched.",ft.action,
"Finish Total (sec)",,46,Passed,"",basic.finish,
