77320,1,ebs,8/22/2017 11:38:36 AM,Passed,8/22/2017 11:37:18 AM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2291,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1637,Passed,"",basic.step,
"Iteration Total (sec)",,74613,Passed,"",basic.iteration,
"Think: 0 (sec).",,42,Passed,"",basic.comment,
"[1] Internet Explorer cannot display the webpage (/erpptp1.fin.yahoo.com:8000/)",,11252,Passed,"",basic.stepGroup,
"Navigate https://erpptp1.fin.yahoo.com:8000/",2,84,Passed,"",ft.action,
"WaitForPage res://ieframe.dll/invalidcert.htm?SSLError=67108864#https://erpptp1.fin.yahoo.com:8000/",4,566,Passed,"",web.pageComplete,
"Think: 10 (sec).",,10052,Passed,"",basic.comment,
"Click link(""@text='Continue to this website (not recommended).'"")",5,244,Passed,"",ft.action,
"Think: 0 (sec).",,30,Passed,"",basic.comment,
"[2] E-Business Suite Home Page Redirect (/erpptp1.fin.yahoo.com:8000/)",,11147,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/",6,471,Passed,"",web.pageComplete,
"Think: 5.163 (sec).",,5200,Passed,"",basic.comment,
"SetText textBox(""@id='usernameField'"") oatsuser",7,59,Passed,"",ft.action,
"Think: 2.047 (sec).",,2067,Passed,"",basic.comment,
"Click textBox(""@id='passwordField'"")",8,198,Passed,"",ft.action,
"Think: 1.295 (sec).",,1319,Passed,"",basic.comment,
"SetPassword textBox(""@id='passwordField'"") ******",9,140,Passed,"",ft.action,
"Think: 1.057 (sec).",,1077,Passed,"",basic.comment,
"Click button(""@index='0'"")",10,182,Passed,"",ft.action,
"Think: 0 (sec).",,26,Passed,"",basic.comment,
"[3] Home (/OA.jsp)",,3322,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/AppsLocalLogin.jsp",11,370,Passed,"",web.pageComplete,
"Think: 1.179 (sec).",,1197,Passed,"",basic.comment,
"Click element(""@text='System Administrator'"")",14,1618,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[4] Home (/OA.jsp)",,12180,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor1",15,422,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10025,Passed,"",basic.comment,
"Click element(""@text='Requests'"")",18,1562,Passed,"",ft.action,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[5] Home (/OA.jsp)",,4081,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE#dummyAnchor",19,403,Passed,"",web.pageComplete,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://erpptp1.fin.yahoo.com:8000/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Think: 1.656 (sec).",,1680,Passed,"",basic.comment,
"Click element(""@text='Run'"")",22,1797,Passed,"",ft.action,
"Think: 0 (sec).",,23,Passed,"",basic.comment,
"[6] Home (/fndlist.jar&jinit_appletcache=off&gp15=icx_ticket&gv15=kwlvE3eADQQj-slelHOGHw..&gp2=resp_app&gv2=SYSADMIN&gp3=resp&gv3=SYSTEM_ADMINISTRATOR&gp4=sec_group&gv4=STANDARD&gp5=function&gv5=FND_FNDRSRUN&gp6=other_params&gv6=&gp7=jsp_agent&gv7=htt...",,6338,Passed,"",basic.stepGroup,
"WaitForPage https://erpptp1.fin.yahoo.com:8000/forms/frmservlet?lang=US&lookAndFeel=ORACLE&colorScheme=SWAN&serverApp=OracleApplications&digitSubstitution=CONTEXT&env=NLS_LANG='AMERICAN_AMERICA'+FORMS_USER_DATE_FORMAT='DD-MON-RRRR'+FORMS_USER_DATETIME...",23,6283,Passed,"",web.pageComplete,
"Think: 0 (sec).",,18,Passed,"",basic.comment,
"[7] Submit a New Request",,11634,Passed,"",basic.stepGroup,
"Forms Screen shot",27,524,Passed,"",ft.screenshot,
"Think: 10 (sec).",,10026,Passed,"",basic.comment,
"Click button(""@name='WHAT_TYPE_OK_0'"")",28,964,Passed,"",ft.action,
"Think: 0 (sec).",,20,Passed,"",basic.comment,
"[8] Submit Request",,8307,Passed,"",basic.stepGroup,
"Forms Screen shot",30,150,Passed,"",ft.screenshot,
"Think: 7.418 (sec).",,7451,Passed,"",basic.comment,
"Close window(""@name='WORK_ORDER'"")",31,596,Passed,"",ft.action,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[9] Submit a New Request",,5059,Passed,"",basic.stepGroup,
"Forms Screen shot",33,191,Passed,"",ft.screenshot,
"Think: 3.682 (sec).",,3698,Passed,"",basic.comment,
"Click button(""@name='WHAT_TYPE_CANCEL_0'"")",34,615,Passed,"",ft.action,
"Think: 0.34 (sec).",,364,Passed,"",basic.comment,
"Activate window(""@name='NAVIGATOR'"")",35,12,Passed,"",ft.action,
"Think: 0 (sec).",,17,Passed,"",basic.comment,
"[10] Navigator - System Administrator",,189,Passed,"",basic.stepGroup,
"Forms Screen shot",37,141,Passed,"",ft.screenshot,
"Finish Total (sec)",,44,Passed,"",basic.finish,
