42852,1,salesforcescenario,9/12/2017 09:49:23 AM,Passed,9/12/2017 09:48:40 AM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1406,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,900,Passed,"",basic.step,
"Iteration Total (sec)",,41189,Passed,"",basic.iteration,
"Think: 0 (sec).",,40,Passed,"",basic.comment,
"[1] Login | Salesforce (/test.salesforce.com/)",,40988,Passed,"",basic.stepGroup,
"Navigate https://test.salesforce.com/",2,71,Passed,"",ft.action,
"WaitForPage https://test.salesforce.com/",4,2017,Passed,"",web.pageComplete,
"Frame (URL=https://test.salesforce.com/s.gif)",,0,Passed,"",web.frame,
"Frame (URL=https://test.salesforce.com/login/sessionserver208.html)",,0,Passed,"",web.frame,
"Think: 3.687 (sec).",,3718,Passed,"",basic.comment,
"SetText textBox(""@id='username'"") admin@ahatis.com.pnctest",,164,Passed,"",ft.action,
"Click textBox(""@id='password'"")",,263,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,185,Passed,"",ft.action,
"Click button(""@id='Login'"")",,278,Passed,"",ft.action,
"WaitForPage https://c.cs3.content.force.com/secur/contentDoor?startURL=%2Fhome%2Fhome.jsp&sid=00DQ000000EeLQg%21ARUAQKfi8t7jELYUuinAg2dcfyevRQ.M5.ogg7Px4enyH_KYmFRDGmSXs5bALdJDog4gwp6bAsmW_SquebPRpIj7Y27z.Apq&skipRedirect=1&lm=CAAAAV53AA7_ME8wUTAwMDAw...",,2383,Passed,"",web.pageComplete,
"Frame (URL=https://test.salesforce.com/login/sessionserver208.html)",,0,Passed,"",web.frame,
"Click link(""@text='Trade Promotion Management'"")",,6338,Passed,"",ft.action,
"WaitForPage https://cttpm2012.cs3.visual.force.com/apex/TradePromotionManagement?sfdc.tabName=01rF0000000W9nc",,3301,Passed,"",web.pageComplete,
"Frame (URL=https://test.salesforce.com/login/sessionserver208.html)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,9762,Passed,"",basic.comment,
"Click textBox(""@id='thePage:tpmform:searchblock:j_id26:j_id27'"")",,168,Passed,"",ft.action,
"Click image(""@alt='Account Lookup (New Window)'"")",,191,Passed,"",ft.action,
"WaitForPage https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupPage?lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lktp=001&lksrch=",,1481,Passed,"",web.pageComplete,
"Frame (URL=https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupSearchFrame?lktp=001&lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lksrch=)",,0,Passed,"",web.frame,
"Frame (URL=https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupResultsFrame?lktp=001&lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lksrch=)",,0,Passed,"",web.frame,
"Click textBox(""@id='lksrch'"")",,149,Passed,"",ft.action,
"SetText textBox(""@id='lksrch'"") kroger",,34,Passed,"",ft.action,
"Click button(""@name='go'"")",,156,Passed,"",ft.action,
"WaitForPage https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupPage?lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lktp=001&lksrch=",,530,Passed,"",web.pageComplete,
"Frame (URL=https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupSearchFrame?lktp=001&lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lksrch=)",,0,Passed,"",web.frame,
"Frame (URL=https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupResultsFrame?lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lktp=001&lksrch=kroger&go=+Go%21+)",,0,Passed,"",web.frame,
"Click link(""@text='Kroger'"")",,162,Passed,"",ft.action,
"Click image(""@id='thePage:tpmform:searchblock:j_id26:j_id28:btnplans'"")",,1135,Passed,"",ft.action,
"WaitForPage https://cttpm2012.cs3.visual.force.com/apex/TPM?id=001F0000018pDHtIAM",,4107,Passed,"",web.pageComplete,
"Frame (URL=https://test.salesforce.com/login/sessionserver208.html)",,0,Passed,"",web.frame,
"Click link(""@text='View'"")",,228,Passed,"",ft.action,
"WaitForPage https://cs3.salesforce.com/a05F0000019sm1pIAA",,2778,Passed,"",web.pageComplete,
"Frame (URL=https://cs3.salesforce.com/emptyHtmlDoc.html)",,0,Passed,"",web.frame,
"Frame (URL=https://test.salesforce.com/login/sessionserver208.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,69,Passed,"",basic.finish,
