41208,1,salesforcescenario,9/26/2017 17:27:10 PM,Passed,9/26/2017 17:26:29 PM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,1409,Passed,"",basic.init,
"Launch Browser: InternetExplorer 8.0.7601.17514",,1042,Passed,"",basic.step,
"Iteration Total (sec)",,39593,Passed,"",basic.iteration,
"Think: 0 (sec).",,28,Passed,"",basic.comment,
"[1] Login | Salesforce (/test.salesforce.com/)",,39422,Passed,"",basic.stepGroup,
"Navigate https://test.salesforce.com/",2,73,Passed,"",ft.action,
"WaitForPage https://test.salesforce.com/",4,2060,Passed,"",web.pageComplete,
"Frame (URL=https://test.salesforce.com/s.gif)",,0,Passed,"",web.frame,
"Frame (URL=https://test.salesforce.com/login/sessionserver208.html)",,0,Passed,"",web.frame,
"Think: 3.687 (sec).",,3716,Passed,"",basic.comment,
"SetText textBox(""@id='username'"") admin@ahatis.com.pnctest",,159,Passed,"",ft.action,
"Click textBox(""@id='password'"")",,258,Passed,"",ft.action,
"SetPassword textBox(""@id='password'"") ******",,140,Passed,"",ft.action,
"Click button(""@id='Login'"")",,255,Passed,"",ft.action,
"WaitForPage https://c.cs3.content.force.com/secur/contentDoor?startURL=%2Fhome%2Fhome.jsp&sid=00DQ000000EeLQg%21ARUAQD5fpZyjgVI1kgCnyfYDWj2wH1zIPb7owtUUMyW0_FVEfI6vOoK_9kf.AQ9xab4dgKOpyQrgSdZaBLLXLz8vZxJo_Kvg&skipRedirect=1&lm=CAAAAV7AvEoSME8wUTAwMDAw...",,2214,Passed,"",web.pageComplete,
"Frame (URL=https://test.salesforce.com/login/sessionserver208.html)",,0,Passed,"",web.frame,
"Click link(""@text='Trade Promotion Management'"")",,3560,Passed,"",ft.action,
"WaitForPage https://cttpm2012.cs3.visual.force.com/apex/TradePromotionManagement?sfdc.tabName=01rF0000000W9nc",,4347,Passed,"",web.pageComplete,
"Frame (URL=https://test.salesforce.com/login/sessionserver208.html)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10040,Passed,"",basic.comment,
"Click textBox(""@id='thePage:tpmform:searchblock:j_id26:j_id27'"")",,209,Passed,"",ft.action,
"Click image(""@alt='Account Lookup (New Window)'"")",,210,Passed,"",ft.action,
"WaitForPage https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupPage?lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lktp=001&lksrch=",,1509,Passed,"",web.pageComplete,
"Frame (URL=https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupSearchFrame?lktp=001&lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lksrch=)",,0,Passed,"",web.frame,
"Frame (URL=https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupResultsFrame?lktp=001&lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lksrch=)",,0,Passed,"",web.frame,
"Click textBox(""@id='lksrch'"")",,171,Passed,"",ft.action,
"SetText textBox(""@id='lksrch'"") kroger",,34,Passed,"",ft.action,
"Click button(""@name='go'"")",,186,Passed,"",ft.action,
"WaitForPage https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupPage?lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lktp=001&lksrch=",,506,Passed,"",web.pageComplete,
"Frame (URL=https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupSearchFrame?lktp=001&lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lksrch=)",,0,Passed,"",web.frame,
"Frame (URL=https://cttpm2012.cs3.visual.force.com/_ui/common/data/LookupResultsFrame?lkfm=thePage%3Atpmform&lknm=thePage%3Atpmform%3Asearchblock%3Aj_id26%3Aj_id27&lktp=001&lksrch=kroger&go=+Go%21+)",,0,Passed,"",web.frame,
"Click link(""@text='Kroger'"")",,184,Passed,"",ft.action,
"Click image(""@id='thePage:tpmform:searchblock:j_id26:j_id28:btnplans'"")",,1278,Passed,"",ft.action,
"WaitForPage https://cttpm2012.cs3.visual.force.com/apex/TPM?id=001F0000018pDHtIAM",,2238,Passed,"",web.pageComplete,
"Frame (URL=https://test.salesforce.com/login/sessionserver208.html)",,0,Passed,"",web.frame,
"Click link(""@text='View'"")",,243,Passed,"",ft.action,
"WaitForPage https://cs3.salesforce.com/a05F0000019sm1pIAA",,4418,Passed,"",web.pageComplete,
"Frame (URL=https://cs3.salesforce.com/emptyHtmlDoc.html)",,0,Passed,"",web.frame,
"Frame (URL=https://test.salesforce.com/login/sessionserver208.html)",,0,Passed,"",web.frame,
"Finish Total (sec)",,65,Passed,"",basic.finish,
